Team,TotalMatches,Wins,Losses,Draws,WinRate(%),Home_Played,Home_Wins,Home_WinRate(%),Away_Played,Away_Wins,Away_WinRate(%),Total_Goals_Scored,Avg_Goals_per_Match,Total_Shots,Avg_Shots_per_Match,Total_Shots_on_Target,Avg_SOT_per_Match,Total_Fouls,Avg_Fouls_per_Match,Total_Yellow_Cards,Avg_YC_per_Match,Total_Red_Cards,Avg_RC_per_Match,Total_Corners,Avg_Corners_per_Match,Recent_Matches,Recent_Wins,Recent_WinRate(%)
Birmingham,266,73,111,82,27.44,133,50,37.59,133,23,17.29,273,1.026,2429,9.132,1256,4.722,3321,12.485,432,1.624,27,0.1015,1313,4.936,0,0,
Blackpool,38,10,19,9,26.32,19,5,26.32,19,5,26.32,55,1.447,446,11.737,235,6.184,403,10.605,47,1.237,2,0.0526,186,4.895,0,0,
Burnley,352,89,177,86,25.28,176,54,30.68,176,35,19.89,349,0.991,3672,10.432,1273,3.616,3456,9.818,602,1.71,19,0.054,1816,5.159,86,13,15.12
Watford,266,67,139,60,25.19,133,40,30.08,133,27,20.3,275,1.034,2902,10.91,982,3.692,3337,12.545,477,1.793,24,0.0902,1231,4.628,38,6,15.79
Sunderland,532,127,266,139,23.87,266,81,30.45,266,46,17.29,520,0.977,5690,10.695,2615,4.915,6538,12.289,970,1.823,51,0.0959,2551,4.795,0,0,
West Brom,494,117,238,139,23.68,247,76,30.77,247,41,16.6,510,1.032,5362,10.854,2322,4.7,5647,11.431,769,1.557,35,0.0709,2400,4.858,0,0,
Cardiff,76,17,46,13,22.37,38,11,28.95,38,6,15.79,66,0.868,836,11.0,252,3.316,726,9.553,114,1.5,2,0.0263,364,4.789,0,0,
Hull,190,41,101,48,21.58,95,29,30.53,95,12,12.63,181,0.953,2002,10.537,781,4.111,2328,12.253,330,1.737,24,0.1263,847,4.458,0,0,
Coventry,38,8,20,10,21.05,19,4,21.05,19,4,21.05,36,0.947,389,10.237,177,4.658,529,13.921,76,2.0,4,0.1053,206,5.421,0,0,
Norwich,266,56,144,66,21.05,133,41,30.83,133,15,11.28,251,0.944,2873,10.801,1152,4.331,2858,10.744,398,1.496,16,0.0602,1239,4.658,38,5,13.16
Sheffield United,162,34,98,30,20.99,81,24,29.63,81,10,12.35,133,0.821,1534,9.469,575,3.549,1585,9.784,322,1.988,13,0.0802,1021,6.302,48,3,6.25
QPR,114,22,66,26,19.3,57,15,26.32,57,7,12.28,115,1.009,1492,13.088,660,5.789,1220,10.702,191,1.675,15,0.1316,544,4.772,0,0,
Derby,114,19,69,26,16.67,57,14,24.56,57,5,8.77,90,0.789,934,8.193,462,4.053,1557,13.658,211,1.851,6,0.0526,477,4.184,0,0,
Huddersfield,76,12,47,17,15.79,38,8,21.05,38,4,10.53,50,0.658,760,10.0,229,3.013,816,10.737,116,1.526,7,0.0921,327,4.303,0,0,
Luton,48,7,31,10,14.58,23,4,17.39,25,3,12.0,61,1.271,553,11.521,164,3.417,323,6.729,88,1.833,0,0.0,499,10.396,48,7,14.58
Bradford,38,5,22,11,13.16,19,4,21.05,19,1,5.26,30,0.789,371,9.763,174,4.579,517,13.605,57,1.5,1,0.0263,179,4.711,0,0,
