Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,HomeTeam_Wins,HomeTeam_Draws,HomeTeam_Losses,HomeTeam_AvgGoalsScored,HomeTeam_AvgGoalsConceded,HomeTeam_AvgShots,HomeTeam_AvgShotsConceded,HomeTeam_AvgCorners,HomeTeam_AvgCornersConceded,HomeTeam_AvgFouls,HomeTeam_PrevSeasonRank,AwayTeam_Wins,AwayTeam_Draws,AwayTeam_Losses,AwayTeam_AvgGoalsScored,AwayTeam_AvgGoalsConceded,AwayTeam_AvgShots,AwayTeam_AvgShotsConceded,AwayTeam_AvgCorners,AwayTeam_AvgCornersConceded,AwayTeam_AvgFouls,AwayTeam_PrevSeasonRank
26/08/2000,Bradford,Leicester,0,0,D,0,0,D,Steve Bennett,8,13,4,8,6,8,11,12,1,2,0,0,1,0,1,1.0,0.5,7.5,7.5,3.5,5.0,11.0,0,1,1,0,0.5,0.0,4.5,11.0,5.0,7.5,13.0,0
26/08/2000,Everton,Derby,2,2,D,2,0,H,Mike Riley,12,7,9,4,11,2,11,9,2,3,0,0,1,0,1,1.5,1.0,12.5,12.5,3.5,5.5,18.5,0,0,1,1,2.0,2.5,8.0,11.0,5.5,8.5,11.0,0
26/08/2000,Ipswich,Sunderland,1,0,H,0,0,D,Graham Poll,14,9,5,3,7,6,10,12,1,1,0,0,0,1,1,1.0,2.0,14.0,14.0,4.0,4.5,11.5,0,1,0,1,1.5,2.0,8.5,14.5,2.5,8.0,12.0,0
26/08/2000,Man City,Coventry,1,2,A,0,2,A,Andy D'Urso,14,9,5,8,5,5,7,12,2,3,0,0,1,0,1,2.0,3.0,11.5,11.5,6.5,4.5,18.0,0,1,0,1,1.5,2.0,6.5,14.0,6.5,5.0,17.5,0
26/08/2000,Middlesbrough,Leeds,1,2,A,0,2,A,Graham Barber,15,16,8,11,4,8,12,20,2,0,0,0,1,1,0,2.0,1.0,14.0,14.0,4.5,6.5,15.0,0,1,0,0,2.0,0.0,17.0,12.0,6.0,4.0,21.0,0
26/08/2000,Newcastle,Tottenham,2,0,H,1,0,H,David Ellaray,15,10,6,2,4,2,13,10,0,0,0,0,1,0,1,1.5,2.0,9.0,9.0,5.0,6.5,18.0,0,1,1,0,2.0,1.0,15.5,13.5,4.0,4.5,16.0,0
26/08/2000,Southampton,Liverpool,3,3,D,0,1,A,Jeff Winter,14,9,7,4,7,1,7,6,0,0,0,0,0,1,1,1.5,2.0,12.5,12.5,7.0,5.0,15.5,0,1,0,1,0.5,1.0,11.5,10.0,8.5,5.5,14.0,0
26/08/2000,West Ham,Man United,2,2,D,0,1,A,Dermot Gallagher,17,8,8,5,7,5,12,9,1,0,0,0,0,0,2,1.0,2.5,14.5,14.5,9.0,6.0,15.0,0,1,1,0,1.5,0.5,17.0,11.0,6.5,2.5,7.0,0
27/08/2000,Aston Villa,Chelsea,1,1,D,1,1,D,Paul Durkin,12,11,9,7,7,10,13,12,0,1,0,0,0,1,0,0.0,0.0,5.0,5.0,4.0,5.0,12.0,0,1,0,1,2.0,2.0,15.5,12.0,5.5,6.5,17.5,0
05/09/2000,Leeds,Man City,1,2,A,0,2,A,Graham Poll,6,8,1,3,9,4,18,24,2,2,0,0,2,0,0,2.0,0.5,16.5,16.5,7.0,4.0,20.5,0,1,0,2,1.67,2.67,12.33,11.67,6.0,4.67,14.33,0
05/09/2000,Man United,Bradford,6,0,H,2,0,H,Ian Harris,21,6,12,4,5,1,12,10,0,1,0,0,1,2,0,1.67,1.0,14.0,14.0,6.0,4.0,7.67,0,1,1,1,0.67,0.33,7.67,14.33,4.33,6.0,11.0,0
05/09/2000,Sunderland,West Ham,1,1,D,1,1,D,Peter Jones,17,16,7,9,4,11,19,14,2,3,0,0,1,0,2,1.0,1.67,8.67,8.67,3.67,7.67,12.0,0,0,1,2,1.33,2.33,15.33,9.67,8.33,5.67,14.0,0
05/09/2000,Tottenham,Everton,3,2,H,1,2,A,Barry Knight,11,11,7,6,7,5,11,10,1,2,0,0,1,1,1,1.33,1.33,13.67,13.67,3.33,4.33,14.0,0,1,1,1,1.67,1.33,12.33,10.67,6.0,4.33,16.0,0
