year,team_name,total_age_years,average_age_years,number_of_players
2012,West Ham,634,22.64,28
2012,Wolverhampton,1094,28.79,38
2013,Arsenal,644,23.0,28
2013,Aston Villa,517,24.62,21
2013,Bournemouth,612,24.48,25
2013,Brentford,805,25.16,32
2013,Brighton,528,24.0,22
2013,Burnley,367,24.47,15
2013,Chelsea,867,24.08,36
2013,Crystal Palace,745,24.03,31
2013,Everton,511,22.22,23
2013,Fulham,895,24.19,37
2013,Liverpool,548,23.83,23
2013,Leeds United,660,25.38,26
2013,Leicester City,501,26.37,19
2013,Luton Town,623,24.92,25
2013,Manchester City,356,27.38,13
2013,Manchester United,575,23.96,24
2013,Newcastle,555,23.12,24
2013,Norwich City,436,24.22,18
2013,Nottingham Forest,675,25.0,27
2013,Sheffield United,824,24.97,33
2013,Southampton,551,22.96,24
2013,Tottenham,663,22.86,29
2013,Watford,709,22.87,31
2013,West Bromwich,544,24.73,22
2013,West Ham,785,22.43,35
2013,Wolverhampton,633,23.44,27
2014,Arsenal,595,22.04,27
2014,Aston Villa,610,24.4,25
2014,Bournemouth,630,26.25,24
2014,Brentford,672,24.0,28
2014,Brighton,736,24.53,30
2014,Burnley,415,23.06,18
2014,Chelsea,623,24.92,25
2014,Crystal Palace,698,25.85,27
2014,Everton,617,22.04,28
2014,Fulham,834,26.9,31
2014,Liverpool,528,24.0,22
2014,Leeds United,706,27.15,26
2014,Leicester City,592,24.67,24
2014,Luton Town,601,23.12,26
2014,Manchester City,380,27.14,14
2014,Manchester United,693,24.75,28
2014,Newcastle,793,25.58,31
2014,Norwich City,769,24.81,31
2014,Nottingham Forest,717,23.9,30
2014,Sheffield United,680,23.45,29
2014,Southampton,536,22.33,24
2014,Tottenham,671,23.96,28
2014,Watford,698,25.85,27
2014,West Bromwich,478,22.76,21
2014,West Ham,566,22.64,25
2014,Wolverhampton,567,24.65,23
2015,Arsenal,647,24.88,26
2015,Aston Villa,781,24.41,32
2015,Bournemouth,770,23.33,33
2015,Brentford,620,23.85,26
2015,Brighton,545,24.77,22
2015,Burnley,515,23.41,22
2015,Chelsea,632,22.57,28
2015,Crystal Palace,594,24.75,24
2015,Everton,572,22.88,25
2015,Fulham,747,26.68,28
2015,Liverpool,715,24.66,29
2015,Leeds United,515,23.41,22
2015,Leicester City,553,25.14,22
2015,Luton Town,714,25.5,28
2015,Manchester City,518,21.58,24
2015,Manchester United,822,25.69,32
2015,Newcastle,809,26.97,30
2015,Norwich City,716,23.87,30
2015,Nottingham Forest,736,25.38,29
2015,Sheffield United,916,25.44,36
2015,Southampton,556,26.48,21
2015,Tottenham,410,22.78,18
2015,Watford,626,25.04,25
2015,West Bromwich,520,22.61,23
2015,West Ham,966,24.77,39
2015,Wolverhampton,713,23.77,30
2016,Arsenal,632,22.57,28
2016,Aston Villa,788,24.62,32
2016,Bournemouth,615,22.78,27
2016,Brentford,544,21.76,25
2016,Brighton,572,27.24,21
2016,Burnley,593,23.72,25
2016,Chelsea,913,24.03,38
2016,Crystal Palace,820,24.85,33
2016,Everton,649,24.96,26
2016,Fulham,568,23.67,24
2016,Liverpool,503,22.86,22
2016,Leeds United,632,24.31,26
2016,Leicester City,421,23.39,18
2016,Luton Town,643,23.81,27
2016,Manchester City,366,26.14,14
2016,Manchester United,635,22.68,28
2016,Newcastle,791,24.72,32
2016,Norwich City,647,23.96,27
2016,Nottingham Forest,936,26.74,35
2016,Sheffield United,667,21.52,31
2016,Southampton,531,24.14,22
2016,Tottenham,570,22.8,25
2016,Watford,896,25.6,35
2016,West Bromwich,451,26.53,17
2016,West Ham,722,24.07,30
2016,Wolverhampton,701,23.37,30
2017,Arsenal,542,25.81,21
2017,Aston Villa,818,24.79,33
2017,Bournemouth,519,23.59,22
2017,Brentford,512,23.27,22
2017,Brighton,493,25.95,19
2017,Burnley,442,24.56,18
2017,Chelsea,733,22.91,32
2017,Crystal Palace,663,24.56,27
2017,Everton,855,23.75,36
2017,Fulham,604,25.17,24
2017,Liverpool,473,23.65,20
2017,Leeds United,842,24.76,34
2017,Leicester City,535,24.32,22
2017,Luton Town,735,25.34,29
2017,Manchester City,468,24.63,19
2017,Manchester United,590,26.82,22
2017,Newcastle,620,25.83,24
2017,Norwich City,639,24.58,26
2017,Nottingham Forest,818,28.21,29
2017,Sheffield United,600,25.0,24
2017,Southampton,475,26.39,18
2017,Tottenham,505,22.95,22
2017,Watford,609,25.38,24
2017,West Bromwich,435,21.75,20
2017,West Ham,762,24.58,31
2017,Wolverhampton,771,23.36,33
2018,Arsenal,506,25.3,20
2018,Aston Villa,785,28.04,28
2018,Bournemouth,493,25.95,19
2018,Brentford,694,27.76,25
2018,Brighton,662,26.48,25
2018,Burnley,485,26.94,18
2018,Chelsea,922,27.12,34
2018,Crystal Palace,619,29.48,21
2018,Everton,683,27.32,25
2018,Fulham,494,27.44,18
2018,Liverpool,318,24.46,13
2018,Leeds United,700,28.0,25
2018,Leicester City,562,25.55,22
2018,Luton Town,622,28.27,22
2018,Manchester City,626,25.04,25
2018,Manchester United,523,27.53,19
2018,Newcastle,490,25.79,19
2018,Norwich City,696,27.84,25
2018,Nottingham Forest,899,29.97,30
2018,Sheffield United,537,25.57,21
2018,Southampton,574,28.7,20
2018,Tottenham,384,25.6,15
2018,Watford,615,23.65,26
2018,West Bromwich,435,25.59,17
2018,West Ham,547,27.35,20
2018,Wolverhampton,701,25.96,27
2019,Arsenal,649,24.04,27
2019,Aston Villa,646,24.85,26
2019,Bournemouth,595,24.79,24
2019,Brentford,497,23.67,21
2019,Brighton,492,27.33,18
2019,Burnley,444,22.2,20
2019,Chelsea,474,22.57,21
2019,Crystal Palace,474,23.7,20
2019,Everton,566,24.61,23
2019,Fulham,562,25.55,22
2019,Liverpool,785,20.66,38
2019,Leeds United,566,28.3,20
2019,Leicester City,426,23.67,18
2019,Luton Town,567,25.77,22
2019,Manchester City,468,22.29,21
2019,Manchester United,752,25.07,30
2019,Newcastle,618,25.75,24
2019,Norwich City,571,22.84,25
2019,Nottingham Forest,812,24.61,33
